ᆫ들,545,1705,1748,JX,*,T,ᆫ들,*,*,*,*
ᆫ커녕,546,1706,1748,JX,*,T,ᆫ커녕,*,*,*,*
ᆯ더러,256,93,1723,JKB,*,F,ᆯ더러,*,*,*,*
ᆯ랑,547,1707,1748,JX,*,T,ᆯ랑,*,*,*,*
ᆯ로,257,94,1723,JKB,*,F,ᆯ로,*,*,*,*
ᆯ루,258,95,1723,JKB,*,F,ᆯ루,*,*,*,*
ᆯ보고,259,96,1723,JKB,*,F,ᆯ보고,*,*,*,*
ㄴ들,260,429,1723,JKB,*,T,ㄴ들,*,*,*,*
ㄴ들,548,1708,1748,JX,*,T,ㄴ들,*,*,*,*
ㄴ즉,549,1709,1748,JX,*,T,ㄴ즉,*,*,*,*
ㄴ즉슨,550,1710,1748,JX,*,T,ㄴ즉슨,*,*,*,*
ㄴ커녕,551,1711,1748,JX,*,T,ㄴ커녕,*,*,*,*
ㄹ,469,572,1063,JKO,*,F,ㄹ,*,*,*,*
ㄹ,477,1029,2349,JKQ,*,F,ㄹ,*,*,*,*
ㄹ,552,1228,1748,JX,*,F,ㄹ,*,*,*,*
ㄹ,261,97,1723,JKB,*,F,ㄹ,*,*,*,*
ㄹ게요,553,1229,1748,JX,*,F,ㄹ게요,*,*,*,*
ㄹ더러,262,98,1723,JKB,*,F,ㄹ더러,*,*,*,*
ㄹ랑,554,1712,1748,JX,*,T,ㄹ랑,*,*,*,*
ㄹ로,263,99,1723,JKB,*,F,ㄹ로,*,*,*,*
ㄹ로부터,264,100,1723,JKB,*,F,ㄹ로부터,*,*,*,*
ㄹ로써,265,101,1723,JKB,*,F,ㄹ로써,*,*,*,*
ㄹ루,266,102,1723,JKB,*,F,ㄹ루,*,*,*,*
ㅓ도,555,1230,1748,JX,*,F,ㅓ도,*,*,*,*
ㅕ두,556,1231,1748,JX,*,F,ㅕ두,*,*,*,*
ㅕ서,267,103,1723,JKB,*,F,ㅕ서,*,*,*,*
가,557,1232,5343,JX,*,F,가,*,*,*,*
가,490,1044,1501,JKS,*,F,가,*,*,*,*
가,454,463,4938,JKC,*,F,가,*,*,*,*
가정,558,1716,3028,JX,*,T,가정,*,*,*,*
가지,559,1239,1694,JX,*,F,가지,*,*,*,*
가지고,268,107,2616,JKB,*,F,가지고,*,*,*,*
간이,269,108,2928,JKB,*,F,간이,*,*,*,*
갓치,270,109,1723,JKB,*,F,갓치,*,*,*,*
갖고,271,110,2794,JKB,*,F,갖고,*,*,*,*
같이,272,111,721,JKB,*,F,같이,*,*,*,*
거나,274,114,2726,JKB,*,F,거나,*,*,*,*
거나,198,17,3224,JC,*,F,거나,*,*,*,*
거나,560,1241,2030,JX,*,F,거나,*,*,*,*
거냐,561,1242,1761,JX,*,F,거냐,*,*,*,*
거든요,562,1243,1704,JX,*,F,거든요,*,*,*,*
건,563,1739,4278,JX,*,T,건,*,*,*,*
겉이,275,119,1723,JKB,*,F,겉이,*,*,*,*
게,276,120,3540,JKB,*,F,게,*,*,*,*
게,491,1046,3997,JKS,*,F,게,*,*,*,*
게서,278,121,2076,JKB,*,F,게서,*,*,*,*
